2023.06.22 11:01:50 INFO  web[][DbMigrations] #6512 'Add column 'language' to 'push_events'': success | time=6ms
2023.06.22 11:01:50 INFO  web[][DbMigrations] #6513 'Delete duplicated rows in 'project_badge_token''...
2023.06.22 11:01:50 INFO  web[][DbMigrations] #6513 'Delete duplicated rows in 'project_badge_token'': success | time=4ms
2023.06.22 11:01:50 INFO  web[][DbMigrations] #6514 'Add unique index on 'project_uuid' in 'project_badge_token''...
2023.06.22 11:01:50 INFO  web[][DbMigrations] #6514 'Add unique index on 'project_uuid' in 'project_badge_token'': success | time=3ms
2023.06.22 11:01:50 INFO  web[][DbMigrations] #6600 'Add column 'webhook_secret' to 'alm_settings''...
2023.06.22 11:01:50 INFO  web[][DbMigrations] #6600 'Add column 'webhook_secret' to 'alm_settings'': success | time=5ms
2023.06.22 11:01:50 INFO  web[][DbMigrations] #6601 'Drop non unique index on 'uuid' in 'components''...
2023.06.22 11:01:50 INFO  web[][DbMigrations] #6601 'Drop non unique index on 'uuid' in 'components'': success | time=3ms
2023.06.22 11:01:50 INFO  web[][DbMigrations] #6602 'Add unique index on 'uuid' in 'components''...
2023.06.22 11:01:50 INFO  web[][DbMigrations] #6602 'Add unique index on 'uuid' in 'components'': success | time=3ms
2023.06.22 11:01:50 INFO  web[][DbMigrations] #6603 'Drop index for 'project_uuid' in 'components''...
2023.06.22 11:01:50 INFO  web[][DbMigrations] #6603 'Drop index for 'project_uuid' in 'components'': success | time=2ms
2023.06.22 11:01:50 INFO  web[][DbMigrations] #6604 'Rename column 'project_uuid' to 'branch_uuid' in 'components''...
2023.06.22 11:01:50 INFO  web[][DbMigrations] #6604 'Rename column 'project_uuid' to 'branch_uuid' in 'components'': success | time=39ms
2023.06.22 11:01:50 INFO  web[][DbMigrations] #6605 'Create index for 'branch_uuid' in 'components''...
2023.06.22 11:01:50 INFO  web[][DbMigrations] #6605 'Create index for 'branch_uuid' in 'components'': success | time=3ms
2023.06.22 11:01:50 INFO  web[][DbMigrations] #6606 'Drop index for 'kee' in 'components''...
2023.06.22 11:01:50 INFO  web[][DbMigrations] #6606 'Drop index for 'kee' in 'components'': success | time=2ms
